,code,occupation,tasks,score
1544,3123,Construction Supervisors,Examining and inspecting work progress,0.3
1545,3123,Construction Supervisors,Examining equipment and construction sites to ensure that health and safety requirements are met,0.2
1546,3123,Construction Supervisors,Supervising construction sites and coordinating work with other construction projects,0.2
1547,3123,Construction Supervisors,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1548,3129,Other Supervisors Not Elsewhere Classified,"Receiving, recording and dispatching products",0.4
1549,3129,Other Supervisors Not Elsewhere Classified,"Inspecting, maintaining and keeping such records as required by the management related to their area of responsibility and ensuring that all work is performed according to instructions",0.45
1550,3129,Other Supervisors Not Elsewhere Classified,"Making requisitions, issuing and recording materials necessary for operations",0.65
1551,3129,Other Supervisors Not Elsewhere Classified,Planning and estimating cost of production and submitting periodic progress reports,0.65
1552,3129,Other Supervisors Not Elsewhere Classified,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1553,3131,Power Production Plant Operators,"Operating and monitoring coal, oil or natural gas-fired steam power generating plant",0.3
1554,3131,Power Production Plant Operators,Operating and monitoring hydroelectric power generating stations,0.3
1555,3131,Power Production Plant Operators,"Operating and controlling power generation systems and equipment including boilers, turbines, generators, condensers and reactors in hydro, heat, coal, oil, natural gas and nuclear power generating plants to generate and distribute electricity",0.3
1556,3131,Power Production Plant Operators,"Controlling the switching operation and the water level and communicating with system operators to control and coordinate the delivery load, frequency and line voltage",0.45
1557,3131,Power Production Plant Operators,"Taking readings from charts, meters and gauges at specified intervals, solving problems and implementing corrective action as necessary",0.65
1558,3131,Power Production Plant Operators,"Carrying out the cleaning and maintenance of equipment such as generators, boilers, turbines, pumps and compressors to prevent malfunction or deterioration of equipment",0.1
1559,3131,Power Production Plant Operators,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1560,3132,Incinerator And Water Treatment Plant Operators,Operating and monitoring incinerator machinery and equipment which burn garbage or other waste materials,0.2
1561,3132,Incinerator And Water Treatment Plant Operators,Operating and monitoring machinery and equipment which purify and clarify water for human consumption or use and later disposal into natural water systems,0.3
1562,3132,Incinerator And Water Treatment Plant Operators,Operating and monitoring machinery and equipment which regulate the treatment and disposal of sewage and wastes,0.3
1563,3132,Incinerator And Water Treatment Plant Operators,Operating and monitoring air and gas compressors,0.2
1564,3132,Incinerator And Water Treatment Plant Operators,"Operating and monitoring pumping stations for transferring liquids, gases, semi-liquids and powdered substances from one location to another",0.3
1565,3132,Incinerator And Water Treatment Plant Operators,"Operating and monitoring refrigeration systems for cool or cold storage, or industrial processes",0.45
1566,3132,Incinerator And Water Treatment Plant Operators,Operating and monitoring heating and ventilation systems,0.2
1567,3132,Incinerator And Water Treatment Plant Operators,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1568,3133,Chemical Processing Plant Controllers,Operating the electronic or computerised control panel from a central control room to monitor and optimise physical and chemical processes for several processing units,0.45
1569,3133,Chemical Processing Plant Controllers,"Adjusting equipment, valves, pumps, control and process equipment",0.2
1570,3133,Chemical Processing Plant Controllers,"Controlling the preparation, measuring and feeding of raw materials and processing agents such as catalysts and filtering media into plants",0.2
1571,3133,Chemical Processing Plant Controllers,Controlling processes and troubleshooting,0.4
1572,3133,Chemical Processing Plant Controllers,"Verifying equipment for malfunctions, carrying out routine operating tests and arranging for maintenance",0.3
1573,3133,Chemical Processing Plant Controllers,"Analysing product samples, performing tests, recording data and production logs",0.3
1574,3133,Chemical Processing Plant Controllers,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1575,3134,Petroleum And Natural Gas Refining Plant Operators,Operating the electronic or computerised control panel from a central control room to monitor and optimise physical and chemical processes for several processing units,0.45
1576,3134,Petroleum And Natural Gas Refining Plant Operators,Operating and monitoring equipment to obtain oxygen and nitrogen from air for industrial and therapeutic use,0.45
1577,3134,Petroleum And Natural Gas Refining Plant Operators,Operating and monitoring plants in which pressure distillate and non-condensable gases are treated,0.3
1578,3134,Petroleum And Natural Gas Refining Plant Operators,Operating and monitoring pumps which circulate petroleum products or water and chemical solutions through the refinery,0.2
1579,3134,Petroleum And Natural Gas Refining Plant Operators,Operating and monitoring control panels in the petroleum refinery,0.3
1580,3134,Petroleum And Natural Gas Refining Plant Operators,Operating and monitoring the distillation apparatus which distils or refines petroleum products,0.2
1581,3134,Petroleum And Natural Gas Refining Plant Operators,Operating and monitoring machines which blend petrol with chemicals and other additives,0.2
1582,3134,Petroleum And Natural Gas Refining Plant Operators,Operating and monitoring machines which refine or otherwise treat natural gas,0.2
1583,3134,Petroleum And Natural Gas Refining Plant Operators,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1584,3135,Metal Production Process Controllers,"Coordinating and controlling metal processing production operation through control panels, computer terminals or other control systems",0.45
1585,3135,Metal Production Process Controllers,Operating and monitoring furnaces to melt ferrous and non-ferrous metals for casting,0.2
1586,3135,Metal Production Process Controllers,"Operating and monitoring furnaces to reheat stock metal forms prior to forging, power-pressing, rolling and further processing",0.2
1587,3135,Metal Production Process Controllers,"Operating and monitoring rolling mills to mould hot or cold steel into shapes for further processing, or into final shapes",0.1
1588,3135,Metal Production Process Controllers,"Operating and monitoring rolling mills to mould hot or cold non-ferrous metal into specified shapes such as plates, sheets or foils",0.1
1589,3135,Metal Production Process Controllers,Pouring molten metal into moulds and operating and monitoring casting machines,0.1
1590,3135,Metal Production Process Controllers,"Operating rolling mills to form hot or cold non-ferrous metal into plates, sheets, foils, wires or rods of specified dimensions",0.1
1591,3135,Metal Production Process Controllers,Manipulating controls of rolling mills,0.2
1592,3135,Metal Production Process Controllers,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1593,3139,Process Control Technicians Not Elsewhere Classified,"Inspecting, maintaining and keeping such records as required by the management, relevant to their area of responsibility and ensuring that all work is performed according to instructions",0.45
1594,3139,Process Control Technicians Not Elsewhere Classified,"Making requisitions, issuing and recording materials necessary for operations",0.65
1595,3139,Process Control Technicians Not Elsewhere Classified,Planning and estimating cost of production and submitting periodic progress reports,0.65
1596,3139,Process Control Technicians Not Elsewhere Classified,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1597,3141,Life Science Technicians (Excluding Medical),"Assisting in designing, setting up and conducting experiments",0.4
1598,3141,Life Science Technicians (Excluding Medical),"Setting up, calibrating, operating and maintaining laboratory instruments and equipment",0.3
1599,3141,Life Science Technicians (Excluding Medical),"Collecting and preparing specimens and samples, chemical solutions and slides and growing cultures for use in experiments",0.2
1600,3141,Life Science Technicians (Excluding Medical),Performing routine field and laboratory tests,0.3
1601,3141,Life Science Technicians (Excluding Medical),Monitoring experiments to ensure adherence to correct laboratory quality control procedures and health and safety guidelines,0.3
1602,3141,Life Science Technicians (Excluding Medical),"Making observations of tests, and analysing, calculating, recording and reporting test results using appropriate scientific methods",0.65
1603,3141,Life Science Technicians (Excluding Medical),"Preserving, classifying and cataloguing specimens and samples",0.35
1604,3141,Life Science Technicians (Excluding Medical),Keeping detailed logs of work performed,0.75
1605,3141,Life Science Technicians (Excluding Medical),"Participating in the research, development and manufacture of products and processes",0.4
1606,3141,Life Science Technicians (Excluding Medical),Ordering and stocking laboratory supplies,0.4
1607,3141,Life Science Technicians (Excluding Medical),Maintaining relevant databases,0.75
1608,3141,Life Science Technicians (Excluding Medical),"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1609,3142,Agricultural And Livestock Technicians,"Carrying out development work including planning, implementing, evaluating, tracking development programmes through group farming project implementation",0.35
1610,3142,Agricultural And Livestock Technicians,"Collecting and preparing specimens such as soils, plant or animal cells, tissues or parts or organs of animals for experiments, tests and analyses",0.2
1611,3142,Agricultural And Livestock Technicians,"Preparing and collecting specimens, materials and equipment for experiments, tests and analyses",0.2
1612,3142,Agricultural And Livestock Technicians,Organising maintenance and repair of farm machinery and farm equipment,0.35
1613,3142,Agricultural And Livestock Technicians,Overseeing product quality,0.3
1614,3142,Agricultural And Livestock Technicians,"Assisting with and performing experiments, tests, analyses and recording observation results and other relevant information using laboratory instruments and equipment",0.3
1615,3142,Agricultural And Livestock Technicians,"Analysing samples of seeds for quality, purity and germination rating",0.3
1616,3142,Agricultural And Livestock Technicians,Collecting data and estimating quantities and costs of materials and labour required for projects,0.65
1617,3142,Agricultural And Livestock Technicians,Applying knowledge of scientific principles and practices in order to identify and solve problems arising in the course of their work,0.35
1618,3142,Agricultural And Livestock Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1619,3143,Forestry Technicians,"Conducting forest inventories, surveys and field measurements following accepted scientific and operational procedures",0.3
1620,3143,Forestry Technicians,Assisting in and performing technical functions in forest management and harvest plans using photogrammetric and mapping techniques and computerised information systems,0.45
1621,3143,Forestry Technicians,"Preparing and collecting specimens, materials and equipment for experiments, tests and analyses",0.3
1622,3143,Forestry Technicians,"Assisting with and performing experiments, tests, analyses and recording observation results and other relevant information using laboratory instruments and equipment",0.3
1623,3143,Forestry Technicians,"Analysing samples of seeds for quality, purity and germination rating",0.2
1624,3143,Forestry Technicians,Collecting data and estimating quantities and costs of materials and labour required for projects,0.45
1625,3143,Forestry Technicians,"Regulating the work of forest development, operational, factory enforcement, recreational forest encroachment and work operations including revenue collection for timber forest products",0.35
1626,3143,Forestry Technicians,Reviewing and monitoring licences for forestry operation and wood-based industries,0.45
1627,3143,Forestry Technicians,"Teaching trainees to operate and maintain heavy machinery in logging, techniques in road-building and timber hauling in the forest",0.25
1628,3143,Forestry Technicians,Applying knowledge of scientific principles and practices in order to identify and solve problems arising in the course of their work,0.4
1629,3143,Forestry Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1630,3144,Fishery Technicians,"Preparing and collecting specimens, materials and equipment for experiments, tests and analyses",0.3
1631,3144,Fishery Technicians,"Assisting with and performing experiments, tests, analyses and recording observation results and other relevant information using laboratory instruments and equipment",0.3
1632,3144,Fishery Technicians,Analysing samples of fish for quality,0.2
1633,3144,Fishery Technicians,Collecting data and estimating quantities and costs of materials and labour required for projects,0.65
1634,3144,Fishery Technicians,Organising maintenance and repair of research equipment,0.35
1635,3144,Fishery Technicians,Applying knowledge of scientific principles and practices in order to identify and solve problems arising in the course of their work,0.35
1636,3144,Fishery Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1637,3151,Aircraft Technicians,"Servicing, repairing and overhauling engines of aircraft such as jets, turbo and piston engines and aircraft other mechanical equipment",0.1
1638,3151,Aircraft Technicians,Testing engines using testing equipment,0.1
1639,3151,Aircraft Technicians,"Examining engines for cracked cylinders, oil leaks and other defects",0.1
1640,3151,Aircraft Technicians,"Repairing, assembling and replacing engine parts",0.1
1641,3151,Aircraft Technicians,Removing the engine from aircraft for overhaul and installing replacements,0.1
1642,3151,Aircraft Technicians,"Inspecting, servicing and repairing pneumatic and hydraulic systems",0.15
1643,3151,Aircraft Technicians,Taking charge of the Aeronautical Fixed Telecommunication Network (AFT system and provision of high frequency radio service and assisting with the air traffic control system in the airspace,0.2
1644,3151,Aircraft Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.3
1645,3152,Ship/ Marine Technicians,Assisting in the provision of information and documents to develop a training course programme in navigation (nautica,0.65
1646,3152,Ship/ Marine Technicians,Marine engineering in accordance with prescribed standards,0.3
1647,3152,Ship/ Marine Technicians,Assisting in seafarer documentation matters,0.65
1648,3152,Ship/ Marine Technicians,Assisting in the management of navigational aids,0.3
1649,3152,Ship/ Marine Technicians,Managing ship and boat registration documents,0.65
1650,3152,Ship/ Marine Technicians,"Repairing and servicing steam, petrol, diesel and marine engines",0.1
1651,3152,Ship/ Marine Technicians,Examining engines to locate defects using various tools and instruments,0.1
1652,3152,Ship/ Marine Technicians,Partially or completely dismantling engines to remove or repair faulty worn out parts,0.1
1653,3152,Ship/ Marine Technicians,"Starting engines and observing their performance by noting different meter readings for temperature, fuel level and oil pressure, and making the necessary adjustments for optimum performance",0.2
1654,3152,Ship/ Marine Technicians,"Checking, adjusting and lubricating engines periodically to keep them in good working order",0.1
1655,3152,Ship/ Marine Technicians,"Supervising, scheduling and monitoring the tasks of other workers",0.3
1656,3153,Train/ Locomotive Technicians,Servicing or repairing train/ locomotive engines,0.1
1657,3153,Train/ Locomotive Technicians,Examining engines to locate defects using various tools and instruments,0.2
1658,3153,Train/ Locomotive Technicians,Partially or completely dismantling engines to replace or adjust faulty worn out parts,0.1
1659,3153,Train/ Locomotive Technicians,"Checking, adjusting and lubricating engines periodically to keep them in good working order",0.1
1660,3153,Train/ Locomotive Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1661,3154,Motor Vehicle Technicians,Servicing or repairing motor vehicle engines,0.1
1662,3154,Motor Vehicle Technicians,Inspecting the engine to detect defects using various tools and instruments,0.1
1663,3154,Motor Vehicle Technicians,Opening part of or the entire engine to replace or fix worn and damaged parts,0.1
1664,3154,Motor Vehicle Technicians,"Inspecting, adjusting and lubricating the engine periodically to keep it in good condition",0.1
1665,3154,Motor Vehicle Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.3
1666,3159,Transport Technicians Not Elsewhere Classified,Supervising and coordinating service activities of the traffic department,0.45
1667,3159,Transport Technicians Not Elsewhere Classified,Directing and supervising activities of bus conductors and drivers within a limited geographical area,0.35
1668,3159,Transport Technicians Not Elsewhere Classified,"Carrying out transportation activities nationally and globally by connecting factories, Suppliers and customers, working in warehouse environment, involved in receiving, packing, shipping and processing orders",0.3
1669,3159,Transport Technicians Not Elsewhere Classified,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1670,3161,Nuclear Research And Development Associate Professionals,"Assisting scientists to develop new concepts, technologies and strategies to improve nuclear technology",0.35
1671,3161,Nuclear Research And Development Associate Professionals,"Operating equipment used for the release, control and utilisation of nuclear energy to assist scientists in laboratory",0.2
1672,3161,Nuclear Research And Development Associate Professionals,"Designing, coordinating and controlling technical aspects of projects",0.35
1673,3161,Nuclear Research And Development Associate Professionals,Analysing test results,0.65
1674,3161,Nuclear Research And Development Associate Professionals,Ensuring the preparation of the necessary materials and chemical solutions,0.3
1675,3161,Nuclear Research And Development Associate Professionals,Maintaining the laboratory in a clean and tidy condition,0.1
1676,3161,Nuclear Research And Development Associate Professionals,"Supervising, scheduling and monitoring the tasks of other workers.",0.35
1677,3211,Medical Imaging And Therapeutic Equipment Technicians,"Operating radiographic equipment including x-ray machine, performing radiological procedure using general x-ray equipment as well as MRI and CT scan machines whether in the ward, operation theatre and the casualty/ accident division using the mobile x-ray equipment",0.2
1678,3211,Medical Imaging And Therapeutic Equipment Technicians,"Explaining procedures, observing and positioning patients, and sing protective equipment to ensure patient safety and comfort during examination, scanning or treatment",0.2
1679,3211,Medical Imaging And Therapeutic Equipment Technicians,"Tracking and mapping radiopharmaceuticals or radiation in the patient’s body, using radioisotopes, camera and other equipment to diagnose and treat diseases",0.2
1680,3211,Medical Imaging And Therapeutic Equipment Technicians,Setting in position required apparatus and equipment,0.2
1681,3211,Medical Imaging And Therapeutic Equipment Technicians,Maintaining the laboratory in a clean and tidy condition,0.1
1682,3211,Medical Imaging And Therapeutic Equipment Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.35
1683,3212,Medical And Pathology Laboratory Technicians,"Conducting chemical analysis of body fluids including blood, urine and spinal fluid to determine presence of normal and abnormal components",0.2
1684,3212,Medical And Pathology Laboratory Technicians,"Operating, calibrating and maintaining equipment used in quantitative and qualitative analyses, such as the spectrophotometer, calorimeter and flame photometer",0.3
1685,3212,Medical And Pathology Laboratory Technicians,"Setting up, cleaning and maintaining laboratory equipment",0.2
1686,3212,Medical And Pathology Laboratory Technicians,Analysing laboratory output to check the accuracy of the results,0.45
1687,3212,Medical And Pathology Laboratory Technicians,"Providing and collecting specimens of body fluids and tissues of patients and evaluating the results to determine the type, stage of development and sources of infection",0.2
1688,3212,Medical And Pathology Laboratory Technicians,"Assisting with and performing experiments, tests, analyses and recording observation results and other relevant information using laboratory instruments and equipment",0.3
1689,3212,Medical And Pathology Laboratory Technicians,"Providing guidance to the patient on the use, proper installation of orthotic devices, ways of walking or movement as required, means of maintaining the device so that is not harmful and in good condition",0.3
1690,3212,Medical And Pathology Laboratory Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1691,3213,Pharmaceutical Technicians And Assistants,Preparing medicine and pharmaceutical compounds under the guidance of pharmacists,0.2
1692,3213,Pharmaceutical Technicians And Assistants,"Dispensing medicines and drugs and giving written and oral instructions on their use, as prescribed by medical doctors",0.4
1693,3213,Pharmaceutical Technicians And Assistants,Cleaning and preparing equipment and containers used to prepare and dispense medicine and pharmaceutical compounds,0.1
1694,3213,Pharmaceutical Technicians And Assistants,Conducting routine laboratory tests to determine characteristics of pharmaceutical products,0.2
1695,3213,Pharmaceutical Technicians And Assistants,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1696,3214,Medical And Dental Prosthetic Technicians,Discussing with medical and dental practitioners to formulate specifications and prescriptions of devices and equipment,0.3
1697,3214,Medical And Dental Prosthetic Technicians,Making special impressions as instructed by the dental surgeon and preparing plaster casts of upper and lower jaws from wax impressions,0.1
1698,3214,Medical And Dental Prosthetic Technicians,Shaping metal vulcanite or plastic plates for dentures and setting false teeth in plates,0.2
1699,3214,Medical And Dental Prosthetic Technicians,Processing dentures in acrylic resin or metal and bridges according to the impression taken,0.2
1700,3214,Medical And Dental Prosthetic Technicians,Forming porcelain teeth and crowns and repairing or making additions to existing dentures,0.2
1701,3214,Medical And Dental Prosthetic Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1702,3215,Orthotic And Prosthetic Technicians,Ensuring devices fit well and that patients have an acceptable range of movement,0.2
1703,3215,Orthotic And Prosthetic Technicians,Crafting prosthetic limbs from softer plastics,0.2
1704,3215,Orthotic And Prosthetic Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1705,3221,Nursing Associate Professionals (Except Dental),"Providing nursing care, treatment and advice to the ill, injured, disabled and others in need of such care",0.2
1706,3221,Nursing Associate Professionals (Except Dental),"Assisting medical doctors in their tasks, administering medicine and drugs, applying surgical dressings and giving other forms of treatment under the instruction of medical doctors",0.2
1707,3221,Nursing Associate Professionals (Except Dental),Assisting in treatment in emergencies,0.2
1708,3221,Nursing Associate Professionals (Except Dental),Assisting in preparation of physical and psychiatric treatment of mentally ill patients,0.2
1709,3221,Nursing Associate Professionals (Except Dental),"Assisting in preparation for social adjustment, development and education of mentally or physically handicapped patients",0.3
1710,3221,Nursing Associate Professionals (Except Dental),Providing nursing care to patients in their homes,0.1
1711,3221,Nursing Associate Professionals (Except Dental),"Supervising, scheduling and monitoring the tasks of other workers.",0.3
1712,3222,Midwifery Associate Professionals,Performing a variety of tasks and being a member of the health team directly serving the public,0.1
1713,3222,Midwifery Associate Professionals,"Advising expectant mothers on appropriate diet, exercise and conduct to ease pregnancy and childbirth, and noting their general health",0.35
1714,3222,Midwifery Associate Professionals,Assisting doctors in deliveries,0.2
1715,3222,Midwifery Associate Professionals,"Attending to mothers in the post-natal period to supervise their recovery, check on babies' health and advise parents on baby care",0.2
1716,3222,Midwifery Associate Professionals,Conducting health education classes and seminars to promote the health of mothers and infants,0.4
1717,3222,Midwifery Associate Professionals,Advising on birth control methods,0.45
1718,3222,Midwifery Associate Professionals,"Supervising, scheduling and monitoring the tasks of other workers.",0.3
1719,3231,Traditional And Complementary Medicine Associate Professionals,"Examining patients, making diagnoses and treating diseases and injuries using herbs, medicinal plants and other traditional techniques employed in the community",0.25
1720,3231,Traditional And Complementary Medicine Associate Professionals,Advising the community and individuals on proper diet and conduct to preserve or improve health and well-being,0.45
1721,3231,Traditional And Complementary Medicine Associate Professionals,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1722,3241,Veterinary Technicians And Assistants,"Helping to carry out the duties of animal management and enforcement, management of animal health, animal fertility management, inspection of animal quarantine centre, ante-mortem and post-mortem inspection at slaughterhouses and processing plants and advising on farming, enforcement of veterinary legislation, and data collection of animals",0.2
1723,3241,Veterinary Technicians And Assistants,Advising the community and individuals on the treatment of animals and their diseases and injuries,0.4
1724,3241,Veterinary Technicians And Assistants,Examining animals to make diagnoses or referring more difficult cases to veterinarians when needed,0.2
1725,3241,Veterinary Technicians And Assistants,"Treating ill or injured animals, especially for common diseases and disorders",0.2
1726,3241,Veterinary Technicians And Assistants,Preparing and maintaining instruments and materials used in the treatment of animals,0.2
1727,3241,Veterinary Technicians And Assistants,Carrying out technical tasks connected with artificial insemination of animals,0.1
1728,3241,Veterinary Technicians And Assistants,"Preparing animals for examination or treatment and holding them during treatment, if necessary",0.1
1729,3241,Veterinary Technicians And Assistants,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1730,3251,Dental Assistants And Therapists,"Examining, diagnosing and managing the treatment of patients under their care and referring to the dental officer for further action",0.2
1731,3251,Dental Assistants And Therapists,"Carrying out health education activities through brushing instruction, lectures and health campaign exhibitions",0.4
1732,3251,Dental Assistants And Therapists,"Providing advice to the community and the individual on dental hygiene, diet and other preventive dental measures",0.6
1733,3251,Dental Assistants And Therapists,Carrying out dental examinations to make diagnoses and referring more complex cases to dentists when necessary,0.2
1734,3251,Dental Assistants And Therapists,Preparing and maintaining dental instruments and equipment,0.1
1735,3251,Dental Assistants And Therapists,Preparing dental materials,0.2
1736,3251,Dental Assistants And Therapists,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1737,3252,Medical Record And Health Information Technicians,"Planning, developing, maintaining and managing a variety of health record indexes for the collection, classification, storage and analysis of information using computer programs to tabulate and analyse data to improve patient care, improve cost control, provide documentation for use in legal action or in research studies",0.65
1738,3252,Medical Record And Health Information Technicians,"Copying, compiling and processing the patients' medical records, admission and discharge documents and other medical reports in the record-keeping system to provide data for monitoring and referrals",0.85
1739,3252,Medical Record And Health Information Technicians,Protecting the security of medical records,0.4
1740,3252,Medical Record And Health Information Technicians,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1741,3253,Community Health Workers,"Providing information to families and the community on various health issues including nutrition, hygiene, care of infants and children, immunisation, family planning, risk factors and prevention of normal, infectious diseases, poison prevention, first aid treatment for simple and common afflictions, abuse, domestic violence and other topics",0.65
1742,3253,Community Health Workers,"Advising the community and individuals on hygiene, diet and other preventive medical measures",0.65
1743,3253,Community Health Workers,Conducting medical examinations to diagnose diseases and/or referring more difficult cases to medical doctors when necessary,0.3
1744,3253,Community Health Workers,"Distributing medical supplies to households to prevent and treat endemic diseases such as malaria, pneumonia and diarrhoeal diseases",0.2
1745,3253,Community Health Workers,"Visiting families in their homes to provide information about health, social services and other services",0.2
1746,3253,Community Health Workers,"Prescribing medicine and giving treatment for diagnosed illnesses, disorders or injuries",0.3
1747,3253,Community Health Workers,"Collecting household and community data for the purpose of monitoring and referrals, and preparing reports to meet health regulations",0.45
1748,3253,Community Health Workers,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1749,3254,Dispensing Opticians,Interpreting optical prescriptions written by optometrists or ophthalmologists,0.7
1750,3254,Dispensing Opticians,"Giving advice to patients on lens type, frames and styles",0.65
1751,3254,Dispensing Opticians,Fitting contact lenses and giving advice on their care and use,0.2
1752,3254,Dispensing Opticians,Taking frame and facial measurements to ensure correct fit and positioning,0.2
1753,3254,Dispensing Opticians,Advising patients when adjustments or fixing of spectacles are required,0.4
1754,3254,Dispensing Opticians,Examining lenses upon receipt to ensure they meet the required specifications,0.1
1755,3254,Dispensing Opticians,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1756,3255,Physiotherapy Technicians And Assistants,"Advising the community and individuals on correct body postures at work or otherwise, to avoid injuries and strain and to strengthen muscles",0.4
1757,3255,Physiotherapy Technicians And Assistants,"Conducting examinations to make diagnoses of disorders of bones, muscles and parts of the circulatory or the nervous system to determine proper treatment or referring to medical doctors, if necessary",0.2
1758,3255,Physiotherapy Technicians And Assistants,"Treating disorders of bones, muscles and parts of the circulatory or the nervous system by manipulative methods and the use of ultrasound, heating, laser or similar techniques",0.2
1759,3255,Physiotherapy Technicians And Assistants,"Massaging clients to improve blood circulation, soothe or stimulate nerves, facilitate elimination of waste matter, stretch contracted tendons and produce other therapeutic effects",0.05
1760,3255,Physiotherapy Technicians And Assistants,Applying physiotherapy and related techniques as part of the treatment of physically or mentally disabled persons,0.2
1761,3256,Medical Assistants,"Advising the community and individuals on hygiene, diet and other preventive medical measures",0.65
1762,3256,Medical Assistants,Conducting medical examinations to diagnose illness and/or referring more difficult cases to medical doctors when necessary,0.3
1763,3256,Medical Assistants,"Prescribing medicine and giving treatment for diagnosed illnesses, disorders or injuries",0.3
1764,3256,Medical Assistants,Performing simple surgical operations,0.1
1765,3256,Medical Assistants,"And supervising, scheduling and monitoring the tasks of other workers.",0.4
1766,3257,Environmental And Occupational Health Inspectors And Associates,Advising representatives of employers and workers on the implementation of government and other rules and regulations concerning occupational safety and the work environment,0.45
1767,3257,Environmental And Occupational Health Inspectors And Associates,"Inspecting places of work to ensure that the work environment, machinery and equipment conform to government and other rules and regulations",0.3
1768,3257,Environmental And Occupational Health Inspectors And Associates,"Inspecting areas of production, processing, transport, handling, storage and sale of products to ensure conformity with government and other rules and regulations",0.3
1769,3257,Environmental And Occupational Health Inspectors And Associates,Inspecting products or finished components to ensure compliance of the specifications and standards of the manufacturer,0.2
1770,3257,Environmental And Occupational Health Inspectors And Associates,"Advising enterprises and the general public on the implementation of government and other rules and regulations concerning hygiene, sanitation, purity and grading of primary products, food, drugs, cosmetics and similar goods",0.45
1771,3257,Environmental And Occupational Health Inspectors And Associates,"Advising producers, operators and those maintaining and repairing aircraft, cars and other vehicles on the implementation of government and other rules and regulations concerning technical standards and conditions of vehicles",0.45
1772,3257,Environmental And Occupational Health Inspectors And Associates,Inspecting vehicles and places authorised to maintain and repair vehicles to ensure that they conform to standards and government and other regulations,0.3
1773,3257,Environmental And Occupational Health Inspectors And Associates,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1774,3258,Ambulance Assistants,"Delivering appropriate care and treatment to preserve life, preventing a patient's condition from deteriorating and promoting recovery",0.1
1775,3258,Ambulance Assistants,"Assessing the health status of persons involved in accidents, natural disasters and other emergency situations, and determining needs for immediate medical assistance",0.1
1776,3258,Ambulance Assistants,"Performing medical procedures and administering drugs and other therapies according to the procedure for emergency medical treatment, including resuscitating and defibrillating patients and operating life support equipment",0.1
1777,3258,Ambulance Assistants,"Monitoring changes in the health status of patients during transport from medical, rehabilitation and other health care facilities",0.2
1778,3258,Ambulance Assistants,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1779,3259,Health Associate Professionals Not Elsewhere Classified,Determining the type of disease or condition affecting the patient,0.65
1780,3259,Health Associate Professionals Not Elsewhere Classified,"Interviewing and examining patients to obtain information on their health status and the nature and extent of injury, illness or other physical or mental health problem",0.3
1781,3259,Health Associate Professionals Not Elsewhere Classified,"Monitoring the health of patients through the treatment plan, and identifying the signs and symptoms that require referral to a medical doctor or other health professional",0.4
1782,3259,Health Associate Professionals Not Elsewhere Classified,Storing information on the patient’s health status and response to treatment in the medical record-keeping system,0.75
1783,3259,Health Associate Professionals Not Elsewhere Classified,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1784,3311,Securities And Finance Dealers And Brokers,Obtaining information about the financial circumstances of customers and companies in which investments may be made,0.7
1785,3311,Securities And Finance Dealers And Brokers,"Analysing market trends for securities, bonds, stocks and other financial instruments, including foreign exchange",0.75
1786,3311,Securities And Finance Dealers And Brokers,Informing prospective customers about market conditions and prospects,0.75
1787,3311,Securities And Finance Dealers And Brokers,Advising on and participating in the negotiation of terms for and organisation of loans and placement of stocks and bonds in the financial market to raise capital for customers,0.45
1788,3311,Securities And Finance Dealers And Brokers,"Recording and transmitting buy and sell orders for securities, stocks, bonds or foreign exchange",0.85
1789,3311,Securities And Finance Dealers And Brokers,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
